ID,E(S1),E(T1),dST
CIKSEU,1.0527,1.228361051,-0.175661051
MPCAZU,0.8888,0.901075842,-0.012275842
SUVTIP,3.3221,3.321832626,0.000267374
IZOCOR01,1.5192,1.517253685,0.001946315
ULEROT,2.0881,2.08537346,0.00272654
YELLIK,0.8389,0.835852818,0.003047182
YOPKOD,1.4682,1.463892114,0.004307886
JUQMIU,1.259,1.254554752,0.004445248
PAVCOH,1.4797,1.474749465,0.004950535
ZOHGAG,1.419,1.413496586,0.005503414
FAZWAF,1.8866,1.879519159,0.007080841
YUJKUJ01,2.3354,2.326839331,0.008560669
FIBVOC,1.6137,1.604983264,0.008716736
KEXJED,2.0823,2.073430373,0.008869627
XITPAU,2.0841,2.07416236,0.00993764
MOGGUN,1.6727,1.662236066,0.010463934
YOJPET,1.6922,1.681311263,0.010888737
UGEMUO,3.1324,3.121401558,0.010998442
TEGVAF,1.9585,1.946921816,0.011578184
SIHPUW,0.6617,0.648722687,0.012977313
TAQRAH,0.6415,0.627957661,0.013542339
OVONEU,2.1017,2.087642891,0.014057109
QAMXUY01,1.4159,1.40146098,0.01443902
IZODAE,2.2841,2.269186521,0.014913479
MOGGIB,1.7648,1.748469018,0.016330982
VETFEI,0.9753,0.956998006,0.018301994
JISXUF,0.9661,0.947591023,0.018508977
LISFUR,2.1337,2.114625723,0.019074277
OHENIB,2.3412,2.321133098,0.020066902
LISFIF,2.1951,2.173293519,0.021806481
MOGGOH,1.7055,1.682889525,0.022610475
CAFMAX,1.3402,1.317437595,0.022762405
OLOYIY,1.8071,1.78406154,0.02303846
XIPQUI,1.8036,1.780279154,0.023320846
UTETIX,3.2362,3.212633246,0.023566754
HUVDUY,1.4827,1.457404914,0.025295086
MAZNUY,1.423,1.396516668,0.026483332
NODHUJ,0.5757,0.54850035,0.02719965
ALARIP,2.552,2.524375104,0.027624896
PATXEQ,0.6794,0.651680567,0.027719433
SEBPAT,2.5925,2.564702411,0.027797589
RUTQEF,2.21,2.181277346,0.028722654
ACEFUM,1.9293,1.90041752,0.02888248
BUWVEU,1.4755,1.446182929,0.029317071
FALPAJ,0.4875,0.45785915,0.02964085
DABBER,1.9124,1.880988575,0.031411425
UNOFOS,2.3979,2.366358458,0.031541542
HXNIPA10,2.4386,2.406797332,0.031802668
IHAZEX,2.0097,1.977888398,0.031811602
NAPINO,2.8538,2.821599871,0.032200129
NIFFOY,1.6676,1.634534853,0.033065147
FIGREV,2.111,2.077373306,0.033626694
UNOFIM,2.4424,2.408236815,0.034163185
OBIPUN,1.7879,1.752754815,0.035145185
UXOJOH,1.6755,1.639759443,0.035740557
GOJZAG10,1.345,1.308596608,0.036403392
PITJIM,1.8921,1.8548112,0.0372888
ILOYUE,2.1342,2.095795429,0.038404571
KEVGIB,0.9647,0.924945689,0.039754311
VEFLIC,2.9111,2.870477002,0.040622998
DEPYIG,1.2564,1.215773054,0.040626946
VOFXAP,1.6057,1.564778409,0.040921591
GELKUG,1.8024,1.761301918,0.041098082
LURZAC,2.1515,2.110271898,0.041228102
