ID,E(S1),E(T1)
BAJVEP,1.5182,1.442122987
LOJPIM,2.6029,0.966821325
NEDQIZ,4.7638,3.649131441
NIJDIU,4.5868,3.471601494
INOHUO,5.894,4.095915548
DITSEH,5.31,3.367466157
MSALTS,3.323,3.175163137
FICTER01,3.0618,2.842911846
QUGHUX,3.4907,2.853932466
YUJKUJ01,4.8675,3.743786323
VOKBON,0.7606,0.608066122
JOCGAM,5.8983,3.758121293
HORBEX,3.7936,1.476926378
SEYSIY,2.216,2.155551681
BISREA,2.3861,0.157031593
XURZAL,5.1897,3.859500114
VOMTIA,5.2518,3.285668665
RISYID,5.8158,3.663137152
NOVKOA,3.823,2.299146281
PASPLB02,4.8954,3.714357186
LURZAC,1.7719,1.735081005
EWIDOD,1.9125,1.301195105
LISFOL,5.9255,3.936592754
YOPKUJ,1.9581,1.687773973
WUGTUP,0.9219,0.910384864
EPIZAF,3.3384,2.014895913
NODHUJ,2.1798,0.413695035
YELLAC,3.1648,2.031304392
XAVSES,5.8875,3.404890006
BELNIS,5.4155,3.677648996
IPUVOG,1.1923,1.135559265
TAQRAH,0.9859,0.976182049
BESCEI,2.766,1.174526001
GEMYUS,2.9837,2.736754701
BUWVEU,1.3838,1.356992097
FIBVOC,2.0747,2.058923971
DAXWEH,1.7675,0.366864202
OBIPUN,4.7748,2.644908036
SIWDOR,1.0648,1.048129012
YAPNEL,4.5001,3.107597211
REXSIY,0.9008,0.830383325
XIHYES,5.6435,2.148694406
VIMPUF,5.1344,3.852482292
AWUDON,5.2851,3.754491291
NEVPUZ,2.4138,0.770052913
PEXRIT,3.2018,1.732631979
UVAWEU,5.8895,3.408446537
HOQZIZ,4.6548,3.610355184
COCGUZ,3.7952,2.373406213
IHAZEX,2.3492,2.326221632
SIXKUI,3.7939,1.929740533
TOLFAB,1.838,1.686835179
GOJZAG10,1.3606,1.324297591
XIJCIE,1.1103,1.037815888
ESEDEM,5.2161,5.035841117
FUPJOP,3.7964,2.256342736
CABROO,4.5838,4.322676374
ALAQEK,4.3493,3.384663767
YAPNAH,3.7631,2.937226586
DEPYIG,1.3605,1.330289543
JIYKAD,5.245,4.712553263
IQEXEI,4.884,3.361125899
NEVQAG,2.5679,0.85629947
XIPQUI,5.7512,3.279083504
OCOHOF,1.5317,1.512823667
VENQOV,4.3471,3.111651711
MIZSEW,5.2546,3.697513324
RUTQEF,4.3741,2.405142878
DONHOG,1.8978,1.846870911
MUFKUT,4.8741,3.355846886
KILREE,1.988,0.51536774
LIVBEZ,5.6896,3.312580747
KEVGIB,0.977,0.936777209
TIZPOH,2.0082,1.797231861
YISYEE,4.8267,3.735037856
NAWPAF,5.7502,3.824291274
HDXMOR,5.675,4.300844661
LIDWUS,5.9534,3.418868507
WENSIT,1.5015,1.302555676
MEBNOX,4.8934,3.755865467
XAKQOP,5.9193,4.051179993
RAFTOH,4.4881,3.22972201
MOXBEJ,4.6471,4.368364328
PITCTZ10,1.8987,1.802565297
MTCMTZ,1.9654,1.868825075
ODEMEP,4.2335,3.187941614
PSBTTP,1.7297,1.531049868
RUFZEY,1.9115,0.36633358
BOCHEG,2.1831,1.053767215
QEKHUM,2.434,1.202961923
ZOVCIW,3.547,2.153701305
YOGWOI,5.8117,3.280525709
FIXTIP,1.5084,1.439401846
LEJCUA,2.3752,1.036237626
NIRYUI,3.8018,3.336662843
EKAVIV,3.6043,3.328036827
