ID,delta_r,
ABAROL,0.533439,
EFOJIT,1.538898,
EFURII,1.496415,
EGAKUS,3.675459,
EGAQEI,2.903566,
EGIGAC,3.181766,
EGIHOT,3.580022,
EGILIP,2.754702,
EGIWAT,1.410513,
EGUDAO,6.733635,
EGUQIJ,2.040166,
ALAYOB,1.614258,
EGUTIK,2.887862,
EGUYAH,4.460695,
EHALUU,0.003104,
EHELIO,2.280824,
EHELOU,2.814501,
EHEREQ,2.580018,
EHESEQ,2.740286,
EHITEU,1.999622,
EHIVAT,3.216490,
EHMOHN,0.800799,
ALOSUR,4.246053,
EHOMOF,5.711203,
EHUPUT,0.002763,
EHUQOP,4.121485,
EJAHED,3.117235,
EJECUT,3.577615,
EJEFAA,0.951726,
EJEHIM,2.741714,
EJEMIR,2.858547,
EJINES,2.678802,
EJIVEY,3.207294,
ALUHOG,0.557465,
EJOBAH,3.000652,
EKAGOO,2.396726,
EKAVIV,0.612699,
EKAWIW,0.870892,
EKOMIA,0.924084,
EKOSOO,0.512369,
EKOZOV,1.246063,
EKOZUZ,0.742165,
EKUKEB,3.194512,
EKUNED,1.529088,
ALUSUX,1.811792,
EKUNIH,1.511185,
ELIHAI,3.427393,
ELIJAK,2.793925,
ELOCIR03,1.202659,
ELUCIX,2.015177,
ELUPAE,3.235700,
ELUPOS,3.262690,
EMALEL02,2.749702,
EMAVUK,3.577686,
EMEVEY,2.906046,
AMBNZA04,3.510657,
EMIGIQ,1.557449,
EMIMEU,3.019130,
EMITOJ,0.021552,
EMOHIY,1.276461,
EMUCEU,2.265835,
EMUYUH,3.392686,
ENANEM,1.119033,
ENIKAO,2.417805,
ENITUQ,4.063350,
ENOFAP,1.036781,
AMCAPR01,0.615489,
EPANUF,0.699893,
EPIQUQ,3.483154,
EPIRIF,3.184993,
EPIZAF,1.995984,
EPYHAT,0.000000,
EQAGEJ,3.636864,
EQANAM,4.216960,
EQENAR,3.367417,
EQEQIC,1.646567,
EQIJOF,1.841145,
AMEBOJ,3.736382,
EQOKEC,1.515146,
EQOKIG,1.474364,
EQOKUS,1.458739,
EQOPIJ,1.109710,
EQUCAW,2.794820,
EREGUF,6.309899,
ERENUK,4.000171,
ERIRUT,3.498341,
ERIVEH,5.341926,
EROCET,1.242360,
AMEFIJ,5.954915,
ERODAR,5.597235,
EROTUB,2.151864,
EROXOZ,2.064573,
EROXUE,3.847575,
EROZUG,2.758834,
ERUBAV,3.981680,
ESEDEM,0.734133,
ESIWUZ,2.227673,
ESOFAV,1.256173,
ESOVEP,3.348108,
AMEMUB,1.412473,
ESOZIV,1.847372,
ESUMIQ,0.000000,
ETEWOP,1.810132,
ETIMUP,2.687074,
ETINEA,2.672799,
ETINIE,3.200608,
ETIPEC,0.000008,
ETITOQ,2.943779,
ETUWOF,5.021806,
ETUZIC,1.428322,
AMEPAC01,4.626556,
ACEFUM,2.613207,
EVALIX,2.011349,
EVAQAT,0.815546,
EVAYAC,6.010109,
EVAYEG,2.454162,
EVEBOW,2.181791,
EVEKIA,3.418278,
EVESOO,3.348569,
EVESUU,3.374644,
EVIBER,1.495063,
EVIFAR,4.126872,
AMEPEP,1.753578,
EVIFEU,5.043960,
EVIJID,2.356021,
EVOPAH,2.485555,
EVOQOV,1.991296,
EVUBAA,1.875180,
EVUBOO,1.537606,
EVUCAB,1.706958,
EWACIP,1.864852,
EWAFOZ,2.049692,
EWIDOD,1.206075,
AMEPOS,1.212635,
EWIDUJ,1.213619,
EWIFAR,1.861810,
EWIREJ,2.191909,
EWOFIG,1.695439,
EWUVAU,1.070281,
EWUYUR,1.295141,
EXAKIY,2.017655,
EXAMUN,7.109047,
EXIYOA,3.802650,
EXOPUD,3.361825,
AMETSL01,2.961874,
EXUFEI,1.592714,
EXUHIP,0.662550,
EXUZUS,2.501199,
EXVPOS,2.070262,
EYACOY,2.310146,
EYAVUW,2.603474,
EYECES,10.505898,
EYEKEY,4.325982,
EYEPIJ,1.089003,
EYERUX,3.896245,
AMEXUN,1.134610,
EYESEI,1.739316,
EYEZEP,0.707287,
EYEZIT,1.483395,
EYIBIZ,6.756800,
EYIDIA,4.460480,
EYIGOK,1.393720,
EYIGUQ,1.773768,
EYIVAJ,2.424838,
EYORAM,3.506019,
EYOREQ,3.432541,
AMTPYD,1.701828,
EYORIU,3.419163,
EYOWAR,3.231146,
EYUJIS,0.267990,
EZAGAP,3.964596,
EZAGIX,2.710382,
EZAKAS,2.411147,
EZARUU,1.689761,
EZASAB,1.856160,
EZASEF,2.391022,
EZISUB,2.221849,
ANAPOW,2.332424,
EZITAI,0.000000,
EZITEM,2.743929,
EZITIQ,2.713151,
EZUHIS,2.888344,
EZUKER,2.489070,
EZUKOB,0.704577,
EZUYUU,2.793785,
FABDIY,3.726158,
FABLAY,3.560730,
FABLEC,2.503225,
ANIHUC,1.215362,
FABTEI,3.730284,
FABXUB10,7.183713,
FACNAA,1.524808,
FADBIW,3.052986,
FADFAS,1.552630,
FAFDAU,3.055120,
FAFNOR,2.182535,
FAFQAE,0.709415,
FAFXAO,3.980215,
FAGGAY,6.053395,
ANISAC,3.763271,
FAGGIE,3.365313,
FAGQOV,
FAGSEO,3.569179,
FAHQOU,3.326331,
FAHWOC,4.447076,
FAHWUI,3.889573,
FAJMUB,2.195405,
FAJNAI,1.685660,
FAJTIT,1.984999,
FAJWEU,3.038585,
ANOWAD,3.456334,
FALPAJ,3.541091,
FALZEX01,2.103710,
FAMJIO,4.718314,
FAMJOU,4.702083,
FAPMUF,1.269492,
FAQFIN,1.626662,
FARGEN,2.080929,
FARGUD,3.828763,
FARHAK,0.460166,
FARHEO,3.031806,
ANPHAC,2.454273,
ACEVUA,3.189351,
FARPOF01,0.219450,
FASKOA,2.354364,
FATBEJ,2.714187,
FATDAI,2.773041,
FATYEG,0.587247,
FAVPAT,0.458546,
FAWFER,1.902534,
FAWJAP,3.296515,
FAWJET,3.386415,
FAWJUL,0.940371,
ANUHOI01,0.619360,
FAYYAH,1.387110,
FAYZIO,3.697075,
FAZGOC,2.860233,
FAZJAR,0.299670,
FAZWAF,3.830663,
FBPIPA,2.263677,
FECGOL,5.148683,
FECGUR,2.698913,
FECHAY01,6.094793,
FECQOU,2.353851,
APAGAB,3.727826,
FEDPAF,2.887883,
FEDXAO,1.620941,
FEFJEH,1.639821,
FEFNOW,4.066807,
FEFNUC,2.748258,
FEFPEO,3.979785,
FEFREP03,2.312429,
FEFXUL,3.320360,
FEGBEZ,4.060606,
FEGSIW,1.568967,
APALEK,0.000032,
FEGSOC,1.765624,
FEGYOF,2.304214,
FEHLOV,4.548715,
FEHRAM,0.268259,
FEHYIA,2.707719,
FEJMUE,2.783036,
FEKPOD,5.417664,
FEKSIX,5.054960,
FELHEJ,1.165188,
FELKIT,2.921002,
APEMUF,2.184235,
FEMKUF,3.165812,
FEMLAM,3.226110,
FEMLIU,3.125171,
FEMTIC,2.230807,
FEMVIC,0.186776,
FENREV,0.677515,
FENTOH,1.054369,
FENYIG,1.297553,
FENZUU,1.583341,
FEPXIJ,3.081027,
APIXAA,2.435267,
FEPXOP,2.167580,
FEPXUV,3.433008,
FEPZOR,1.136645,
FEPZUX,4.008416,
FEQBEK,3.114734,
FEQQUQ,1.354807,
FEQTAX,4.502708,
FEQWII,0.000000,
FERBUB,0.336618,
FERCEM,0.381517,
APODIT,4.514243,
FERCIQ,0.690574,
FERCOW,0.732821,
FESVUV,0.685010,
FESYIN,3.370581,
FETNOI,1.095429,
FETQOM,2.767490,
FETQUS,2.995173,
FETROM,1.101964,
FEVVOU,1.985017,
FEVXOT,2.514295,
APSMCB,6.911612,
FEVXOW,0.528703,
FEWBEO,2.877549,
FEWBUH,1.624850,
FEWQIK,4.937442,
FEXDET,2.496792,
FEXJUP,0.857769,
FEYBAO,1.621436,
FEZCOF,1.631071,
FHFPBY,2.023301,
FIBHAC,2.926430,
APUSAF01,2.300585,
FIBVOC,0.686600,
FICTER01,1.402308,
FIDDEE,0.000948,
FIFCIJ,2.004270,
FIFHAD,6.423017,
FIFKUA,2.904518,
FIFNEN,0.034298,
FIFTAS,1.901422,
FIGPET,4.426131,
FIGPIX,4.183706,
AQINUL,4.036906,
FIGPUJ,4.420928,
FIGQAQ,3.476367,
FIGREV,0.289341,
FIGSOD,5.015805,
FIJJUD,2.230513,
FIJWIE,4.178182,
FILHAM,2.482000,
FILPAT,0.816315,
FILXON,1.474611,
FIMBAG,2.934310,
AQIPUN,3.519945,
ACEWAH,2.181184,
FIMHEO,2.701729,
FIMLOF,0.038461,
FIMREZ,6.460887,
FINSIH,1.778369,
FIPHOC,2.295752,
FIPLUL,2.726035,
FIPMEW,2.999732,
FIPMIA,2.924684,
FIPMOG,2.388078,
FIQBIR,0.342678,
AQITAX,2.659714,
FIQBUD,0.196366,
FIQKOH,0.947525,
FISZEP,4.273834,
FIVPEI,3.869099,
FIWBIY,0.639361,
FIXKEE,3.200335,
FIXTIP,1.243494,
FIXYIU,2.982041,
FIZNOR,1.549189,
FLOCOS,1.884130,
AQONAX,2.326207,
FOBVEY,3.534393,
FODXUR,4.790131,
FOFDEK,3.784041,
FOFNUL,2.732097,
FOFQIA,0.481336,
FOFVUU,1.988778,
FOFWOP,2.476004,
FOHBUC,3.531367,
FOHHUF,0.583250,
FOHJAQ,3.784041,
AQOVUZ,3.749418,
FOHMEX,3.679286,
FOHMIB,4.148621,
FOHMOH,3.475317,
FOHNEV,0.515561,
FOJBAK,4.398391,
FOJCUF,7.082917,
FOJFEQ,1.566250,
FOJLOI,1.663509,
FOJSED,1.472229,
FOKKIC,3.414659,
AQOWAG,4.113916,
FOKLAV,3.449023,
FOLDOC,3.269148,
FOLFUJ,2.945229,
FOLKOI,3.315379,
FOMVUZ,2.689156,
FOMYUC,3.748238,
FONGOF,3.786842,
FONGOG,3.558262,
FONGUL,4.330468,
FONVEM,1.975407,
ARACYP,4.546942,
FONVIQ,3.118575,
FOQJEC01,2.394055,
FOQQOT,7.561004,
FOQZUJ,1.663839,
FOVMIP,3.812636,
FOVSUF,2.151937,
FOVVAQ,1.394391,
FOWFOP,4.423406,
FOWFUV,7.224491,
FOWGAC,6.925848,
ARATAP,1.954173,
FOWQOZ,3.220828,
FOWSOC,2.574904,
FOXDON,1.865405,
FOXXAU,2.387196,
FOYNOY,0.004202,
FOZHUZ,0.844064,
FOZQEQ,4.172524,
FOZQIU,0.371759,
FOZQOA,0.404388,
FOZZUP,0.763745,
AREGIP,0.000000,
FPBUTP,5.806621,
FPMPHI10,2.416918,
FROPYR,2.976590,
FUBGUG,3.199746,
FUBLEV,2.139772,
FUBQUQ,0.768338,
FUDDIR,2.157130,
FUDRAZ,1.395516,
FUFYEK,1.176511,
FUGLAX,1.119517,
AREGOV,0.000000,
FUGNIG,1.768865,
FUGTAD,2.642039,
FUGVUY,2.481309,
FUGWUA,4.796951,
FUGZOX,2.895958,
FUHCIV,0.199148,
FUHJOI,7.760396,
FUHTEK,8.934078,
FUHTOU,7.927512,
FULCEU,2.605217,
AREROF,2.054558,
FULGUQ,3.524736,
FULHAX,3.405296,
FULRAG,2.945426,
FUMKEE,1.888504,
FUMLAD,0.010072,
FUMLEH,1.126652,
FUMPUB,1.910174,
FUMTAI,0.762369,
FUMVIV,1.195479,
FUMWUH,3.647570,
ARETOI,2.602435,
ACICEU,2.112285,
FUPJOP,0.249659,
FUPMIM,2.274893,
FUQCAX,2.135176,
FUQHAA,1.597209,
FUQPUF,2.158329,
FURMEN,0.001810,
FURVIZ,4.117721,
FUSRET,5.396292,
FUSVEW,0.687735,
FUTCIJ,4.580227,
ARETUO,2.532757,
FUTCOP,4.566490,
FUTHUA,0.101678,
FUTJAI,0.128117,
FUVYAW,3.856215,
FUXPUM,2.728475,
FUYMUI,1.348510,
FXBPOL,2.056592,
GABGIB,2.877821,
GABGUN,2.848311,
GABJUP,1.293343,
ARIGOZ,2.244555,
GABOBU10,1.031055,
GACHIE,2.084050,
GACHUQ,2.272876,
GACJAY,2.688862,
GACJUQ,0.705135,
GACPEI,1.542184,
GACXEN10,4.040995,
GADBOF,3.194977,
GADDIY,3.386444,
GADGUO,4.284633,
AROLOI,1.603303,
GADPAD,1.809653,
GADSUC,4.551093,
GADTAJ,4.424335,
GADTUC,2.195179,
GADVIR,3.167657,
GADWIS,1.889963,
GAFYES,0.125236,
GAJMAH,2.198427,
GAMMIR,3.650311,
GAMNEO,4.816252,
ARUMUX,2.689224,
GAPHEM,
GAPKOZ,4.493322,
GAQHEN,2.644472,
GASKIU,1.667048,
GATFOY,0.393373,
GATFUE,1.450817,
GATGEP,0.395919,
GATHOA,1.975583,
GATKUH,3.223661,
GATZUX,1.589417,
ARUNAE,3.503568,
GAVJET,2.233837,
GAVKIY,3.563973,
GAVYIL,2.054982,
GAWGAN,1.595592,
GAWRIF,0.000000,
GAXKIC,2.280576,
GAXLEZ,2.987367,
GAXQUU,3.309229,
GAZCIT,2.413453,
GAZCIV,2.017392,
ARUNEI,1.799036,
GAZWIP,3.633937,
GEBPOU,1.137644,
GEBTEO,0.043987,
GEBTIS,0.000000,
GECGIG,0.000000,
GECWUJ,2.249595,
GECXIX,2.485363,
GECXUJ,1.237944,
GECYEU,1.805530,
GEDWAN,1.466377,
ARUNIM,2.661798,
GEDZEU,1.373100,
GEFBAW,3.024968,
GEFTOC,4.429132,
GEGLAF,0.004970,
GEHKOT,4.083483,
GEHRIU,3.756040,
GEHWUN,1.120215,
GEHXAU,1.068683,
GEJCEG,3.539908,
GEJDIJ,3.313017,
ASAGAE,3.265561,
GEJDOP,2.095409,
GEJQOE,3.729819,
GEKHAG,1.402063,
GELBUW,6.655280,
GELKUG,2.151368,
GELNOD,3.315164,
GEMDAG,4.563155,
GEMYUS,0.963344,
GENJIS,2.646953,
GENJUH,1.692547,
ASAGEG,2.315890,
GENTUP,3.576420,
GEPFAL,5.146485,
GEPFUD,2.813337,
GEPPEW,3.138863,
GEPREZ,1.864971,
GEQJOB,2.966719,
GEQZOR,0.555113,
GERBAJ,1.871892,
GERNUP,2.042159,
GERPAX,1.681173,
ASAGEI,3.817990,
ACIVIS,3.285116,
GESDAK,1.830594,
GESHOC,2.949866,
GESMEX,3.154148,
GESTEE,1.446703,
GESTOQ,0.774336,
GETHES,2.007553,
GETJOE,0.000000,
GEXGIZ,3.839389,
GEYHIB,0.194710,
GEYHUN,0.250110,
ASAGIM,3.791100,
GEYQIN,3.465431,
GEZSAH,4.772651,
GIBVIX,2.152605,
GICLIQ,2.039613,
GIDDAY,1.528653,
GIDHEG,2.759477,
GIDLIR,2.533258,
GIDVUN,2.831940,
GIDZEB,1.632552,
GIDZIF,2.145406,
ASAPAN,3.526020,
GIFLUE,2.166072,
GIGKUF,0.935551,
GIGPET,0.000125,
GIGVOJ,2.517835,
GIHBAC,4.793922,
GIHBEG,3.966751,
GIHMIV,4.214666,
GIJLES,0.943033,
GIKBOU,2.922837,
GIKBUA,4.386517,
ASAROD,3.227694,
GIKGAJ,3.295301,
GIKHIT,0.568991,
GIKNAR,2.514394,
GIKNIZ,1.213117,
GILXIK,2.506770,
GILYIK,2.662439,
GIMCEK,1.055292,
GIMDEO,1.736272,
GIMXAD,2.723478,
GINHUH,1.434212,
ASASEU,2.284465,
GINPIE,3.376696,
GINQAX,3.551367,
GINTOO,1.709303,
GINXIM,2.606278,
GINXUY,0.797969,
GINYAF,1.876448,
GIPBIS,2.352654,
GIPCIT,2.538870,
GIPFOC,2.920553,
GIQRUT,4.543945,
ASASIY,4.412685,
GISBIU,3.215171,
GISFAS,2.205417,
GISFEW,3.233982,
GISFIA,2.138127,
GISTIL,4.737636,
GITGEY,4.542638,
GITJIE,3.051290,
GITLUR,1.711392,
GITPEF,3.113830,
GITVEN,1.116702,
ASEJAJ,5.645881,
GITVIO,1.261522,
GITWEO,6.351059,
GIVCIA,2.151386,
GIVDUK,4.308530,
GIVQAE,2.331721,
GIVQEI,2.425662,
GIWBOD,0.318738,
GIWBUJ,0.229388,
GIXNUW,1.722469,
GIXXIV,3.659932,
ASELOA,1.167876,
GIZCOI,3.745247,
GIZMIN,2.534573,
GIZZEX,0.269728,
GLCILI,5.355833,
GLHPRA,1.898922,
GLLASP,1.553279,
GLUGLY,2.095483,
GLYTAU,5.125395,
GOBJUD,1.910446,
GOBKOA,2.279383,
ASIHEP,2.319518,
GOBLOZ,0.000010,
GOBVUP,0.000000,
GODVUT,2.066858,
GODWAA,2.490126,
GOFFIS,2.121592,
GOFHAN,2.665835,
GOFREZ,0.554871,
GOFZOS,3.974327,
GOGQAU,2.638324,
GOHJUJ,2.335663,
ASIHIT,2.445703,
GOHKUJ,0.182498,
GOHRUR,4.925374,
GOJBOZ,2.670821,
GOJCIR,0.718051,
GOJVOR,2.162810,
GOJZAG10,1.653850,
GOKHOD,0.003252,
GOKKAT01,3.185639,
GOLFET,3.433559,
GOLGOG,2.661417,
ASIHOZ,2.769583,
ACIWOZ,3.308755,
GOLGUM,2.752176,
GOLHAT,2.922210,
GOMBUG,3.230103,
GOMCIV,3.408884,
GOMFUM,3.568461,
GOMMED,2.317773,
GOMTOU,2.646462,
GOMWIP02,2.255230,
GONHOJ,3.329485,
GONKUR,5.910158,
ASILIY,1.704935,
GONLON,2.322159,
