ID,SMILES,E(S1),E(T1)
ABAKAR,N#CC1=C(SC2=C1CCN(Cc1ccccc1)C2)N=P(c1ccccc1)(c1ccccc1)c1ccccc1,3.641900022,3.208500019
ABAROL,C1CC2=C(S1)SC(S2)=C1SC2=C(CSC2)S1,2.881200017,2.676600016
ABAWAE,CN(C)c1ccc(cc1)C1=C(c2ccc(cc2)C#N)C(C#N)(C#N)C2=C(O1)c1ccccc1C2=O,3.246100019,2.769800017
ABEFAP,COc1ccc(cc1)C(=O)NC(=S)Nc1ccccc1OC,3.582200021,3.178300019
ABEQOO,Cc1c(O)cc2C(=O)C3(CC4C(C)(O)CCC(Cl)C4(C)C)OC(C)(C)C(Cl)CC3(Cl)C(=O)c2c1O,3.37180002,2.951600018
ABIYOC,CC1=C2N(CC(=C(I)C2(c2ccccc2)c2ccccc2)I)c2ccccc12,4.022300024,3.629500022
ABIZAP01,O=C1N2CC3=C(SC=C3)c3cccc(C1=O)c23,2.742000016,2.331400014
ABIZOD,CN(C)c1ccc(Br)c2N(CC3=C(Br)SC=C3)C(=O)C(=O)c12,2.929500018,2.491100015
ABODUR,CCN(CC)C1=CC=CC=CC1=C1C(=O)N(C)C(=O)N(C)C1=O,2.886700017,2.407400014
ABOFUT,COc1ccc(cc1C1C(C(ON1c1ccccc1)c1ccc(C)cc1)C(=O)c1ccccc1)C(C)(C)c1ccccc1,3.722200022,3.31170002
ABOKIN,CCN1c2ccc(cc2Sc2cc(ccc12)C(=O)C=C(O)c1ccccc1)C(=O)C=C(O)c1ccccc1,2.818300017,2.340400014
ABONOW,Cc1cc(C)c(N=P(C)(c2ccccc2)c2cccc3c2Oc2ccccc32)c(C)c1,4.076300024,3.650800022
ABTBTR,CN(C)C(=C=C=S)C(C)(C)C,2.007600012,1.789500011
ABUQOF,COCOc1ccc2C(c3ccccc3C(C)=O)C3(C=CC(=O)c4c(OC)cccc34)c3ccc(OC)c1c23,3.31960002,2.891400017
ACAPIE,Cc1ccc(NC(=S)NC(=O)c2ccccc2F)cc1,3.441200021,3.023500018
ACEFOG,CC(=O)Oc1ccc2c(Oc3c4CCCN5CCCc(cc3C32c2ccccc2C(=O)C3=[N+]=[N-])c45)c1,2.960700018,2.696600016
