ID,E(S1),E(T1),dST
ZINC000001587193,1.2276,1.311570239,-0.083970239
ZINC000016941977,1.7227,1.751088707,-0.028388707
ZINC000005948327,2.686,2.680649043,0.005350957
ZINC000000096648,2.6044,2.592612013,0.011787987
ZINC000000551158,1.4714,1.42979287,0.04160713
ZINC000000116230,1.0589,1.016870821,0.042029179
ZINC000095725648,1.0963,1.050022464,0.046277536
ZINC000001612773,0.9344,0.887935063,0.046464937
ZINC000013281548,1.3409,1.273656601,0.067243399
ZINC000005855710,0.989,0.919554705,0.069445295
ZINC000001574798,0.861,0.790872013,0.070127987
ZINC000000081958,1.607,1.530981167,0.076018833
ZINC000006262354,0.8322,0.752438638,0.079761362
ZINC000001732099,1.9239,1.843055062,0.080844938
ZINC000003852419,1.6779,1.591156449,0.086743551
ZINC000009140258,0.8207,0.730435503,0.090264497
ZINC000001623847,2.9212,2.817135963,0.104064037
ZINC000328599441,1.1564,1.051451063,0.104948937
ZINC000102960100,2.0917,1.979166465,0.112533535
ZINC000012433001,1.7074,1.593608195,0.113791805
ZINC000056656565,0.9551,0.840369543,0.114730457
ZINC000013576251,1.2781,1.162386482,0.115713518
ZINC000016189368,0.8506,0.726454476,0.124145524
ZINC000104303395,0.7775,0.651032649,0.126467351
ZINC000017221845,0.8757,0.748667138,0.127032862
ZINC000036243899,2.9856,2.858173469,0.127426531
ZINC000001082213,1.3363,1.207979176,0.128320824
ZINC000334160387,1.6895,1.559866064,0.129633936
ZINC000000353959,2.294,2.163071964,0.130928036
ZINC000003852644,2.0134,1.882103416,0.131296584
ZINC000004404274,0.778,0.646678826,0.131321174
ZINC000000137014,2.8472,2.715044247,0.132155753
ZINC000020534024,0.9581,0.824260396,0.133839604
ZINC000003850772,0.5854,0.450971745,0.134428255
ZINC000521825346,2.5989,2.460590483,0.138309517
ZINC000021596510,2.2879,2.147931543,0.139968457
ZINC000017105353,2.007,1.866511286,0.140488714
ZINC000020849487,0.5736,0.432797253,0.140802747
ZINC000095829681,0.9997,0.856579371,0.143120629
ZINC000003299186,3.0356,2.89165165,0.14394835
ZINC000008648315,2.3675,2.220667605,0.146832395
ZINC000000532985,2.1311,1.983746143,0.147353857
ZINC000001689465,0.8285,0.680091699,0.148408301
ZINC000001513456,2.0656,1.916036027,0.149563973
ZINC000000050805,1.6085,1.458152587,0.150347413
ZINC000001576717,0.6201,0.468852353,0.151247647
ZINC000005391035,2.1334,1.982135229,0.151264771
ZINC000039379296,1.4709,1.314378455,0.156521545
ZINC000888090940,2.2969,2.127305305,0.169594695
ZINC000000265006,0.91,0.739815271,0.170184729
ZINC000001226922,1.7767,1.606261494,0.170438506
ZINC000000384181,2.5431,2.371609218,0.171490782
ZINC000001610186,1.7575,1.58141749,0.17608251
ZINC000001588525,1.6571,1.476302588,0.180797412
ZINC000101276279,0.8931,0.710930374,0.182169626
ZINC000035737977,2.6078,2.425223832,0.182576168
ZINC000004769401,2.8836,2.700241248,0.183358752
ZINC000003154956,2.2974,2.111250581,0.186149419
ZINC000016990777,1.8416,1.654284166,0.187315834
ZINC000002659336,0.7001,0.511030017,0.189069983
ZINC000006227507,0.7384,0.547248385,0.191151615
ZINC000001045972,1.1382,0.945615059,0.192584941
ZINC000408960548,0.8362,0.631141119,0.205058881
ZINC000245253729,2.1346,1.92284976,0.21175024
ZINC000044974136,2.0336,1.816034146,0.217565854
ZINC000013208709,1.464,1.243451952,0.220548048
ZINC000001714321,1.9242,1.70104695,0.22315305
ZINC000000233218,1.7236,1.497908437,0.225691563
ZINC000000114886,2.6234,2.385881596,0.237518404
ZINC000000066381,2.5507,2.299879979,0.250820021
ZINC000005729222,1.549,1.297869301,0.251130699
ZINC000000199044,0.8016,0.539901308,0.261698692
ZINC000013602104,4.3863,4.11203378,0.27426622
ZINC000011535753,1.9318,1.639554637,0.292245363
ZINC000034242081,2.9569,2.662436455,0.294463545
ZINC000000531379,2.3526,2.052449476,0.300150524
ZINC000000081954,1.5017,1.193921769,0.307778231
ZINC000001625742,2.017,1.653446055,0.363553945
ZINC000005031841,2.2262,1.853689276,0.372510724
ZINC000004666816,2.0082,1.615097035,0.393102965
ZINC000328579960,5.5648,5.171553021,0.393246979
ZINC000102729865,1.8118,1.332101238,0.479698762
ZINC000001622598,2.1211,1.633173565,0.487926435
ZINC000005239318,3.3408,2.850475365,0.490324635
ZINC000004454780,1.7261,1.233492581,0.492607419
ZINC000077301621,2.6679,2.170051687,0.497848313
ZINC000103209924,1.7224,1.220975339,0.501424661
ZINC000100878769,3.5148,3.009281072,0.505518928
ZINC000253495793,1.7634,1.228599972,0.534800028
ZINC000004947417,2.0043,1.450310263,0.553989737
ZINC000005241907,1.0479,0.486566972,0.561333028
ZINC000211601571,0.6806,0.102151581,0.578448419
ZINC000013862833,1.8893,1.30911305,0.58018695
ZINC000001603902,1.8522,1.265085011,0.587114989
ZINC000004648834,2.1939,1.599213743,0.594686257
ZINC000252494278,5.7934,5.170197894,0.623202106
ZINC000004027009,2.1516,1.515495162,0.636104838
ZINC000001686135,3.3333,2.694717334,0.638582666
ZINC000000626166,1.3413,0.698271633,0.643028367
ZINC000034514496,5.203,4.554480194,0.648519806
ZINC000001872066,1.7819,1.131036232,0.650863768
