ID,E(S1),E(T1),,,
ZINC000013602104,3.0751,3.4073,,,
ZINC000016941977,1.7227,1.7523,,,
ZINC000000478170,5.599,5.599,,,
ZINC000001587193,1.2925,1.2835,,,
ZINC000003173969,1.1911,1.1233,,,
ZINC000037370154,2.7648,2.6922,,,
ZINC000006795608,1.1012,0.9752,,,
ZINC000521825346,2.5481,2.4083,,,
ZINC000003163924,1.6763,1.5285,,,
ZINC000002913469,0.6785,0.5105,,,
ZINC000001226922,1.1585,0.9882,,,
ZINC000035737977,2.3557,2.1726,,,
ZINC000001636581,3.6929,3.4776,,,
ZINC000144219012,1.5918,1.376,,,
ZINC000004896472,2.3368,2.08,,,
ZINC000062021842,3.1315,2.8287,,,
ZINC000000081954,1.7455,1.4288,,,
ZINC000005729222,1.4697,1.1189,,,
ZINC000034604143,2.5943,2.2422,,,
ZINC000001625742,1.8562,1.4889,,,
ZINC000328579960,6.9384,6.5662,,,
ZINC000255189843,1.4777,1.0778,,,
ZINC000003861007,2.4788,2.0625,,,
ZINC000001622598,2.1137,1.6786,,,
ZINC000034514496,5.1202,4.6488,,,
ZINC000005241907,2.1959,1.7183,,,
ZINC000001603902,1.1617,0.6279,,,
ZINC000334138943,5.2792,4.7045,,,
ZINC000252494278,5.8469,5.216,,,
ZINC000014983648,1.3667,0.7141,,,
ZINC000001872066,1.8433,1.1756,,,
ZINC000004984467,1.9021,1.234,,,
ZINC000012322452,2.3247,1.6549,,,
ZINC000001688055,2.8121,2.054,,,
ZINC000000626166,1.8167,1.0574,,,
ZINC000013862833,2.1326,1.3697,,,
ZINC000002539285,2.2704,1.4738,,,
ZINC000003845283,1.641,0.8411,,,
ZINC000016946274,2.4021,1.5739,,,
ZINC000031623232,2.2151,1.3688,,,
ZINC000001685949,2.9646,2.1146,,,
ZINC000000186507,2.8461,1.9467,,,
ZINC000002024418,2.1369,1.2305,,,
ZINC000000397790,2.6587,1.7308,,,
ZINC000005022788,2.4682,1.5262,,,
ZINC000000049435,2.2862,1.33,,,
ZINC000002160290,2.8424,1.8792,,,
ZINC000006277000,2.2386,1.2494,,,
ZINC000001736939,4.0775,3.0749,,,
ZINC000006451480,3.743,2.7261,,,
ZINC000005463436,4.0616,3.0412,,,
ZINC000003132326,2.2871,1.2645,,,
ZINC000078546367,2.9728,1.9376,,,
ZINC000002285370,2.0837,1.0448,,,
ZINC000000049852,2.4702,1.3956,,,
ZINC000072209505,2.3247,1.2422,,,
ZINC000001724500,2.6909,1.6082,,,
ZINC000004006176,2.3419,1.2423,,,
ZINC000018052089,4.4728,3.357,,,
ZINC000096900382,2.9029,1.7668,,,
ZINC000004013917,3.1627,2.0131,,,
ZINC000100141140,2.9868,1.824,,,
ZINC000006920978,2.3442,1.1649,,,
ZINC000035323903,3.762,2.5645,,,
ZINC000013207855,3.2367,2.0335,,,
ZINC000001718628,2.2235,0.9992,,,
ZINC000000064440,3.2494,2.0145,,,
ZINC000226245047,2.4791,1.2392,,,
ZINC000003032656,1.8398,0.5921,,,
ZINC000004429418,5.1739,3.915,,,
ZINC000000406214,4.1874,2.9216,,,
ZINC000013211965,2.3239,1.0553,,,
ZINC000001704033,2.9545,1.6855,,,
ZINC000077301621,3.3059,2.0321,,,
ZINC000253431292,4.291,3.0126,,,
ZINC000004050691,2.763,1.4843,,,
ZINC000001688998,2.6693,1.3828,,,
ZINC000001617253,3.8512,2.5637,,,
ZINC000003897849,2.9384,1.6224,,,
ZINC000001574054,3.5322,2.2098,,,
ZINC000002899993,1.6322,0.2996,,,
ZINC000003080766,3.5418,2.2,,,
ZINC000016930400,2.4784,1.1098,,,
ZINC000000309339,3.059,1.6903,,,
ZINC000095863262,4.3858,3.0163,,,
ZINC000002312010,3.6588,2.2843,,,
ZINC000001390322,3.1191,1.7433,,,
ZINC000001713880,5.0711,3.6911,,,
ZINC000095971194,2.4792,1.094,,,
ZINC000003845270,4.191,2.7854,,,
ZINC000048369320,4.7185,3.296,,,
ZINC000003173924,3.054,1.6039,,,
ZINC000000185266,2.9703,1.5188,,,
ZINC000045068546,2.2849,0.8303,,,
ZINC000043214906,3.9661,2.4926,,,
ZINC000000306478,2.3597,0.8836,,,
ZINC000002831365,4.8876,3.4066,,,
ZINC000101028043,1.9117,0.3808,,,
ZINC000003078576,2.0357,0.4895,,,
ZINC000001764684,4.4892,2.9206,,,
ZINC000005952711,2.5403,0.942,,,
ZINC000100878769,3.6607,2.0376,,,
ZINC000009365342,5.4461,3.7873,,,
ZINC000034242081,3.7478,2.0708,,,
ZINC000040385418,5.229,3.5426,,,
ZINC000005085567,5.1404,3.4504,,,
ZINC000000401340,3.2848,1.5614,,,
ZINC000003848025,4.3269,2.6005,,,
ZINC000001734691,3.1809,1.3743,,,
ZINC000002312120,4.9879,3.1489,,,
ZINC000002270150,5.9221,4.0802,,,
ZINC000096792601,5.8897,4.0376,,,
ZINC000254478156,5.0261,3.1617,,,
ZINC000001556339,4.2207,2.3561,,,
ZINC000068603570,5.9681,4.0887,,,
ZINC000077028633,3.4105,1.5119,,,
ZINC000017316341,1.7234,-0.2541,,,
ZINC000005274920,5.4859,3.4962,,,
ZINC000017077588,4.7813,2.6784,,,
ZINC000000527824,4.4812,2.314,,,
ZINC000005361301,3.9359,1.5199,,,
ZINC000005274926,4.1755,1.2768,,,
ZINC000001610186,6.1129,2.9891,,,
