ID,s1_delta_r
ZINC000001617253,2.4e-05
ZINC000095863262,0.000129
ZINC000003861007,0.000144
ZINC000003848025,0.000371
ZINC000000401340,0.000425
ZINC000001752394,0.000438
ZINC000008763868,0.000526
ZINC000002312010,0.000543
ZINC000002025801,0.00099
ZINC000014983648,0.001046
ZINC000005729222,0.001457
ZINC000000626166,0.001467
ZINC000001872066,0.001637
ZINC000005705162,0.00279
ZINC000031623337,0.002796
ZINC000004551992,0.003395
ZINC000013562166,0.004134
ZINC000000398466,0.004298
ZINC000004982636,0.012437
ZINC000003186076,0.016201
ZINC000001590838,0.016367
ZINC000016163021,0.016752
ZINC000004948420,0.017458
ZINC000001710847,0.021729
ZINC000003843476,0.022244
ZINC000002144094,0.024255
ZINC000100369018,0.034287
ZINC000005605211,0.035459
ZINC000077028633,0.045317
ZINC000001024132,0.084367
ZINC000003847075,0.087556
ZINC000013602104,0.093868
ZINC000001634291,0.113757
ZINC000005527621,0.145479
ZINC000002896382,0.152724
ZINC000144219012,0.191901
ZINC000001510094,0.205427
ZINC000001569638,0.23318
ZINC000003583057,0.239533
ZINC000016941977,0.249329
ZINC000000397790,0.266017
ZINC000008782877,0.274079
ZINC000004995377,0.281742
ZINC000003080766,0.299361
ZINC000001625742,0.313862
ZINC000039931352,0.334619
ZINC000048253574,0.352959
ZINC000006476342,0.359967
ZINC000001593377,0.362716
ZINC000334138943,0.37177
ZINC000080545116,0.371919
ZINC000005064803,0.375685
ZINC000043214960,0.379711
ZINC000101193133,0.383447
ZINC000006243846,0.391816
ZINC000001568197,0.395691
ZINC000252494278,0.403849
ZINC000003844983,0.411099
ZINC000001764684,0.424696
ZINC000005022788,0.4251
ZINC000001718628,0.435745
ZINC000001699986,0.445256
ZINC000004891437,0.44633
ZINC000058402756,0.451948
ZINC000000461492,0.455407
ZINC000095424297,0.460773
ZINC000252628515,0.461321
ZINC000059326230,0.467078
ZINC000000312017,0.478732
ZINC000100189748,0.478763
ZINC000096111312,0.48185
ZINC000001587998,0.486276
ZINC000001622598,0.495277
ZINC000225502549,0.514266
ZINC000010274255,0.528043
ZINC000041091548,0.528822
ZINC000001647615,0.529457
ZINC000001588103,0.534007
ZINC000003209641,0.540407
ZINC000004864085,0.541991
ZINC000006453869,0.546955
ZINC000021996464,0.553253
ZINC000252517814,0.558708
ZINC000016958471,0.560001
ZINC000071769571,0.562301
ZINC000043214906,0.570821
ZINC000002831601,0.57298
ZINC000018192822,0.581823
ZINC000003132326,0.582152
ZINC000008403752,0.586697
ZINC000150344104,0.58863
ZINC000002913469,0.599582
ZINC000001226312,0.602563
ZINC000001603902,0.607375
ZINC000226245047,0.609708
ZINC000002895944,0.618469
ZINC000103690836,0.621897
ZINC000003832803,0.622937
ZINC000078546367,0.62431
ZINC000155421271,0.630027
ZINC000034604143,0.630092
ZINC000004285528,0.631515
ZINC000009708863,0.631611
ZINC000001351655,0.632421
ZINC000012346527,0.633613
ZINC000005759812,0.637051
ZINC000004084301,0.640063
ZINC000005188495,0.651999
ZINC000002831365,0.652727
ZINC000058378075,0.660219
ZINC000072278373,0.660478
ZINC000001679089,0.66075
ZINC000063612829,0.664795
ZINC000001505284,0.670764
ZINC000001588003,0.672058
ZINC000030000872,0.67273
ZINC000003120969,0.678055
ZINC000003190087,0.683393
ZINC000952993645,0.6846
ZINC000025693735,0.685672
ZINC000000064440,0.689221
ZINC000020815817,0.692381
ZINC000032267378,0.696994
ZINC000032029437,0.702387
ZINC000585130505,0.703382
ZINC000001636581,0.703625
ZINC000005184879,0.710155
ZINC000006665893,0.711966
ZINC000102266176,0.715138
ZINC000952980957,0.717718
ZINC000040952085,0.730106
ZINC000018192824,0.732076
ZINC000008453449,0.7332
ZINC000001588094,0.733292
ZINC000000384087,0.733504
ZINC000001736939,0.734497
ZINC000006089025,0.73597
ZINC000226860346,0.738112
ZINC000058354726,0.739354
ZINC000001698355,0.740901
ZINC000606346870,0.753853
ZINC000004013917,0.756283
ZINC000004659160,0.764719
ZINC000003959415,0.765155
ZINC000066489295,0.766166
ZINC000027646936,0.766496
ZINC000003844474,0.76687
ZINC000097950377,0.767273
ZINC000000207348,0.775444
ZINC000075163120,0.777774
ZINC000003200262,0.778899
ZINC000408721813,0.783076
ZINC000024831037,0.791129
ZINC000016236856,0.792459
ZINC000000714082,0.796421
ZINC000002057763,0.806384
ZINC000004984467,0.809303
ZINC000328596584,0.813828
ZINC000036646373,0.814127
ZINC000002332197,0.816529
ZINC000001718650,0.817777
ZINC000256056001,0.818055
ZINC000059422908,0.821412
ZINC000028526929,0.827424
ZINC000001726913,0.82934
ZINC000004322204,0.832627
ZINC000005705265,0.836479
ZINC000089505616,0.837395
ZINC000058393697,0.842811
ZINC000096180376,0.843898
ZINC000001664727,0.8474
ZINC000016930400,0.848055
ZINC000604940600,0.849156
ZINC000000389629,0.849185
ZINC000085651133,0.851915
ZINC000003263616,0.853285
ZINC000002368516,0.855807
ZINC000253404123,0.860713
ZINC000000251616,0.862529
ZINC000002652409,0.865479
ZINC000011526859,0.867155
ZINC000100762098,0.8686
ZINC000254406746,0.868942
ZINC000016230711,0.86996
ZINC000238623034,0.871529
ZINC000012445687,0.872356
ZINC000226860268,0.8724
ZINC000058380627,0.873861
ZINC000005772600,0.876395
ZINC000095482939,0.876838
ZINC000056936325,0.877121
