ID,SMILES,E(S1),E(T1)
ZINC000004480027,O=C(/C=C/n1c(=O)oc2ccccc21)c1ccccc1,3.585000021,3.161000019
ZINC000000180574,O=C(NC(=S)Nc1cccnc1)c1cc2ccccc2o1,3.446500021,2.978700018
ZINC000004480612,O=C(Oc1cc(Cl)ccc1Cl)c1ccc(/C=N/c2ccc3c4c(cccc42)CC3)cc1,3.29950002,2.903500017
ZINC000004481415,N=C1[C@@H](C(N)=O)SC(=S)N1/N=C(\N)S,3.051600018,2.752400016
ZINC000004486138,CN1C(=O)/C(=C\c2ccc(C(=O)Nc3ccccn3)cc2)SC1=S,3.014200018,3.702400022
ZINC000004498733,Cc1cc(C)c(C(=O)c2ccc(C(=O)Nc3ccc4ccccc4n3)cc2)c(C)c1,3.42350002,2.945200018
ZINC000004506266,CCOC(=O)[C@@H]1SC(=S)N(n2cnnc2)C1=N,3.190400019,3.37590002
ZINC000004508846,O=C(Oc1ccccc1C=C1C(=O)c2ccccc2C1=O)c1ccccc1,3.241900019,2.810300017
ZINC000004512021,Cn1nc(/C=C/c2ccccc2)[n+]([O-])c2c(=O)n(C)c(=O)nc1-2,2.814400017,3.117300019
ZINC000004512205,COc1cc2ccnc(C(=O)c3cc(OC)c(OC)cc3NC(C)=O)c2cc1OC,3.35200002,2.888100017
ZINC000004516861,CC(=O)c1ccc(NC(=O)c2cn(CCC#N)nc2-c2cc3ccccc3o2)cc1,3.736000022,3.250700019
ZINC000004517642,COc1ccccc1NS(=O)(=O)c1ccc2c(c1)C(=O)c1ccc(S(=O)(=O)Nc3ccccc3OC)cc1C2=O,3.140700019,2.714700016
ZINC000004517740,CS(=O)(=O)c1ccccc1C(=O)Nc1cccc2c1C(=O)NC2=O,4.050800024,3.583100021
ZINC000000182362,Cc1cc(C)nc(N2CC(=O)N(C)C2=N)n1,4.711000028,4.228600025
ZINC000004517772,CS(=O)(=O)c1ccccc1C(=O)Nc1cccc([N+](=O)[O-])c1,3.38940002,3.40320002
ZINC000004518051,Cc1cc(NC(=O)c2ccc(S(C)(=O)=O)cc2)no1,4.380300026,3.886600023
ZINC000004518357,CNC(=S)c1c(-c2ccccc2)c2c3n(c(COc4ccccc4)nn13)CCCC2,3.130100019,2.865200017
ZINC000004520602,O=C(C(=O)N1CC(=O)Nc2ccccc21)c1c[nH]c2ccccc12,3.256200019,2.777800017
ZINC000004521086,CC(=O)Nc1ccc(S(=O)(=O)N=[N+]=[N-])cc1,4.104400025,3.743000022
ZINC000004522215,O=C1c2ccccc2C(=O)c2c1cccc2S(=O)(=O)Nc1ccccc1,3.176300019,2.771200017
ZINC000004525230,O=C1c2ccccc2C(=O)N1c1cc(-c2c[nH]c3ccccc23)n(-c2ccccc2)n1,3.933900024,3.453400021
ZINC000004531805,CC(=O)Nc1ccc(C(=O)/C=C\c2ccccn2)cc1,3.39080002,2.948500018
ZINC000004531824,CC(=O)Nc1cccc(C(=O)/C=C\c2ccncc2)c1,3.38990002,2.960100018
ZINC000004532198,[N-]=[N+]=C1c2ccccc2NC1=O,2.462600015,2.172500013
ZINC000004532211,C(=N\N=C/c1cccnc1)\c1cccnc1,3.647000022,3.153300019
ZINC000000185266,O=C1c2ccccc2-c2nc3ncnn3c(-c3ccccc3)c21,3.26630002,2.836700017
ZINC000004535104,COc1ccc2nc(/N=N/c3ccc4c(c3O)C(=O)C=CC4=O)sc2c1,1.911100011,3.183500019
ZINC000004542543,O=C(O)c1ccccc1C(=O)Nc1ccccc1C(=O)c1ccccc1,3.782300023,3.532200021
ZINC000000186159,COc1nc(C)nc(NC(=O)NS(=O)(=O)c2ccccc2C)n1,4.866500029,4.377800026
ZINC000004543175,Cc1nn(C)c2[nH]c3ccccc3c(=O)c12,4.093400024,3.657600022
ZINC000004543694,C=CCNC(=S)/N=C(\Nc1ccc(Cl)cc1)Nc1nc(C)cc(C)n1,3.575600021,3.119400019
ZINC000004550728,C/C(=N\OC(=O)c1ccccc1)C(=O)c1ccc(Br)cc1,3.492600021,3.012800018
ZINC000000186507,O=C1c2ccccc2-c2nc3ncccc3nc21,2.786700017,2.345500014
ZINC000004551687,C=CCN1C(=O)/C(=C2\c3ccccc3NC2=S)SC1=S,1.73860001,1.294800008
ZINC000004551921,c1ccc(/N=N/Nc2nc(N/N=N/c3ccccc3)nc(N/N=N/c3ccccc3)n2)cc1,3.29290002,2.868100017
ZINC000004551992,c1ccc(Sc2c(Sc3ccccc3)c(Sc3ccccc3)c(Sc3ccccc3)c(Sc3ccccc3)c2Sc2ccccc2)cc1,3.096900019,3.031200018
ZINC000004553637,O=C(Oc1ccccc1N1C(=O)c2ccccc2C1=O)c1cccs1,4.001000024,3.546600021
ZINC000004553638,O=C(Oc1ccc(N2C(=O)c3ccccc3C2=O)cc1)c1cccs1,4.007300024,3.523100021
ZINC000004557220,S=C(Nc1ccccc1)c1ccccn1,2.811700017,2.439600015
ZINC000000186770,Cc1ccc(NS(=O)(=O)NC(=O)Nc2nc(C)cc(C)n2)nc1,4.812900029,4.420400026
ZINC000004558199,O=[N+]([O-])c1ccc(C2=NCN=N2)cc1,3.32850002,4.232100025
ZINC000004563701,Cc1ccc(N(C)C(=O)C(=O)c2cc3c(s2)c2ccccc2oc3=O)cc1C,3.003500018,2.578000015
ZINC000004567224,CSC(=S)N/N=C(\C)c1ccncn1,2.871600017,2.622000016
ZINC000000187219,CC(=O)c1n[nH]nc1NC(=O)c1ccccc1,3.964600024,3.508800021
ZINC000004568230,CCc1cc2c(cc1OC(C)=O)C(=O)c1ccccc1C2=O,3.181100019,3.032200018
ZINC000004577828,O=C1c2ccccc2C(=O)c2c(Sc3nc4ccccc4s3)cccc21,2.921600017,2.542200015
ZINC000004584567,Cc1nnsc1C(=O)Nc1ccc(/N=N/c2ccccc2)cc1,2.243400013,2.954700018
ZINC000004585660,CC(=O)c1ccc(C(=O)Nc2nnc(-c3cccc(S(C)(=O)=O)c3)o2)cc1,3.578800021,3.100600019
